,weight_2022,citax_2022,Net_Income_2022,weight_ref_2022,citax_ref_2022,Net_Income_ref_2022,weight_ref_2023,citax_ref_2023,Net_Income_ref_2023,weight_ref_2024,citax_ref_2024,Net_Income_ref_2024,weight_ref_2025,citax_ref_2025,Net_Income_ref_2025,weight_ref_2026,citax_ref_2026,Net_Income_ref_2026,weight_ref_2027,citax_ref_2027,Net_Income_ref_2027,weight_ref_2028,citax_ref_2028,Net_Income_ref_2028,weight_ref_2029,citax_ref_2029,Net_Income_ref_2029,weight_ref_2030,citax_ref_2030,Net_Income_ref_2030,ETR,ETR_ref
51,"1,338.0000",30.0000,152.0000,"1,338.0000",30.0000,152.0000,"1,338.0000",30.0000,152.0000,"1,338.0000",30.0000,152.0000,"1,338.0000",30.0000,152.0000,"1,338.0000",30.0000,152.0000,"1,338.0000",30.0000,152.0000,"1,338.0000",30.0000,152.0000,"1,338.0000",30.0000,152.0000,"1,338.0000",30.0000,152.0000,0.1974,0.1974
52,"1,337.0000",31.0000,157.0000,"1,337.0000",31.0000,157.0000,"1,337.0000",31.0000,157.0000,"1,337.0000",31.0000,157.0000,"1,337.0000",31.0000,157.0000,"1,337.0000",31.0000,157.0000,"1,337.0000",31.0000,157.0000,"1,337.0000",31.0000,157.0000,"1,337.0000",31.0000,157.0000,"1,337.0000",31.0000,157.0000,0.1975,0.1975
53,"1,338.0000",33.0000,161.0000,"1,338.0000",33.0000,161.0000,"1,338.0000",33.0000,161.0000,"1,338.0000",33.0000,161.0000,"1,338.0000",33.0000,161.0000,"1,338.0000",33.0000,161.0000,"1,338.0000",33.0000,161.0000,"1,338.0000",33.0000,161.0000,"1,338.0000",33.0000,161.0000,"1,338.0000",33.0000,161.0000,0.2050,0.2050
54,"1,337.0000",34.0000,166.0000,"1,337.0000",34.0000,166.0000,"1,337.0000",34.0000,166.0000,"1,337.0000",34.0000,166.0000,"1,337.0000",34.0000,166.0000,"1,337.0000",34.0000,166.0000,"1,337.0000",34.0000,166.0000,"1,337.0000",34.0000,166.0000,"1,337.0000",34.0000,166.0000,"1,337.0000",34.0000,166.0000,0.2048,0.2048
55,"1,338.0000",35.0000,171.0000,"1,338.0000",35.0000,171.0000,"1,338.0000",35.0000,171.0000,"1,338.0000",35.0000,171.0000,"1,338.0000",35.0000,171.0000,"1,338.0000",35.0000,171.0000,"1,338.0000",35.0000,171.0000,"1,338.0000",35.0000,171.0000,"1,338.0000",35.0000,171.0000,"1,338.0000",35.0000,171.0000,0.2047,0.2047
56,"1,337.0000",37.0000,176.0000,"1,337.0000",37.0000,176.0000,"1,337.0000",37.0000,176.0000,"1,337.0000",37.0000,176.0000,"1,337.0000",37.0000,176.0000,"1,337.0000",37.0000,176.0000,"1,337.0000",37.0000,176.0000,"1,337.0000",37.0000,176.0000,"1,337.0000",37.0000,176.0000,"1,337.0000",37.0000,176.0000,0.2102,0.2102
57,"1,338.0000",39.0000,181.0000,"1,338.0000",39.0000,181.0000,"1,338.0000",39.0000,181.0000,"1,338.0000",39.0000,181.0000,"1,338.0000",39.0000,181.0000,"1,338.0000",39.0000,181.0000,"1,338.0000",39.0000,181.0000,"1,338.0000",39.0000,181.0000,"1,338.0000",39.0000,181.0000,"1,338.0000",39.0000,181.0000,0.2155,0.2155
58,"1,337.0000",40.0000,185.0000,"1,337.0000",40.0000,185.0000,"1,337.0000",40.0000,185.0000,"1,337.0000",40.0000,185.0000,"1,337.0000",40.0000,185.0000,"1,337.0000",40.0000,185.0000,"1,337.0000",40.0000,185.0000,"1,337.0000",40.0000,185.0000,"1,337.0000",40.0000,185.0000,"1,337.0000",40.0000,185.0000,0.2162,0.2162
59,"1,338.0000",42.0000,191.0000,"1,338.0000",42.0000,191.0000,"1,338.0000",42.0000,191.0000,"1,338.0000",42.0000,191.0000,"1,338.0000",42.0000,191.0000,"1,338.0000",42.0000,191.0000,"1,338.0000",42.0000,191.0000,"1,338.0000",42.0000,191.0000,"1,338.0000",42.0000,191.0000,"1,338.0000",42.0000,191.0000,0.2199,0.2199
60,"1,337.0000",44.0000,197.0000,"1,337.0000",44.0000,197.0000,"1,337.0000",44.0000,197.0000,"1,337.0000",44.0000,197.0000,"1,337.0000",44.0000,197.0000,"1,337.0000",44.0000,197.0000,"1,337.0000",44.0000,197.0000,"1,337.0000",44.0000,197.0000,"1,337.0000",44.0000,197.0000,"1,337.0000",44.0000,197.0000,0.2234,0.2234
61,"1,338.0000",46.0000,202.0000,"1,338.0000",46.0000,202.0000,"1,338.0000",46.0000,202.0000,"1,338.0000",46.0000,202.0000,"1,338.0000",46.0000,202.0000,"1,338.0000",46.0000,202.0000,"1,338.0000",46.0000,202.0000,"1,338.0000",46.0000,202.0000,"1,338.0000",46.0000,202.0000,"1,338.0000",46.0000,202.0000,0.2277,0.2277
62,"1,337.0000",48.0000,208.0000,"1,337.0000",48.0000,208.0000,"1,337.0000",48.0000,208.0000,"1,337.0000",48.0000,208.0000,"1,337.0000",48.0000,208.0000,"1,337.0000",48.0000,208.0000,"1,337.0000",48.0000,208.0000,"1,337.0000",48.0000,208.0000,"1,337.0000",48.0000,208.0000,"1,337.0000",48.0000,208.0000,0.2308,0.2308
63,"1,338.0000",50.0000,214.0000,"1,338.0000",50.0000,214.0000,"1,338.0000",50.0000,214.0000,"1,338.0000",50.0000,214.0000,"1,338.0000",50.0000,214.0000,"1,338.0000",50.0000,214.0000,"1,338.0000",50.0000,214.0000,"1,338.0000",50.0000,214.0000,"1,338.0000",50.0000,214.0000,"1,338.0000",50.0000,214.0000,0.2336,0.2336
